"","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency"
"161",131,131,"Ladarius Green","TE","SD",10,92,186,136.787234,20.82034211,154,16,0.511658485273492
"162",132,132,"Jordan Matthews","WR","PHI",7,105,190,137.2826087,23.01763317,174,16,NA
"163",133,133,"Carson Palmer","QB","ARI",4,85,166,134.627907,17.90676533,155,16,0.259807991696938
"164",134,134,"Jonathan Stewart","RB","CAR",12,78,176,137.6,20.854416,186,16,0.31174885889365
"165",135,135,"Ahmad Bradshaw","RB","IND",10,98,185,139.0869565,21.00913475,177,16,0.32960672190454
"166",136,136,"Jarrett Boykin","WR","GB",9,101,185,133.3809524,19.119863,159,16,0.605534454693434
"167",137,137,"LeGarrette Blount","RB","PIT",12,82,183,137.5909091,22.99141953,146,16,0.583534440606319
"168",138,138,"Kenny Stills","WR","NO",6,82,180,136.2142857,21.47150461,166,16,0.565964657467926
"169",139,139,"Heath Miller","TE","PIT",12,83,201,139.2325581,20.10187682,152,16,0.400689999168677
"170",140,140,"Aaron Dobson","WR","NE",10,81,197,136.6,22.66473031,207,16,0.479965899403239
"171",141,141,"Doug Baldwin","WR","SEA",4,96,178,139.15,20.42369947,173,16,0.488039751419693
"172",142,142,"Kenny Britt","WR","STL",4,71,200,137.8461538,28.97615152,193,16,0.677399489751033
"173",143,143,"Steve Smith","WR","BAL",11,100,188,146.9318182,21.05555177,144,17,0.408223335921507
"174",144,144,"Khiry Robinson","RB","NO",6,69,195,138.6315789,25.20382286,135,16,0.575167037861916
"175",145,145,"Tavon Austin","WR","STL",4,101,188,141.6052632,24.00607322,148,16,0.587840898794962
"176",146,146,"Danny Amendola","WR","NE",10,93,196,144.025641,28.09369596,143,16,0.454286763355976
"177",147,147,"James Jones","WR","OAK",5,93,183,143,24.9082527,167,16,0.397690798858773
"178",148,148,"Christine Michael","RB","SEA",4,93,242,147.5,26.59699231,153,17,0.236286919831224
"179",149,149,"Alex Smith","QB","KC",6,106,192,147.8292683,18.76673554,151,17,0.520446190898721
"180",150,150,"Antonio Gates","TE","SD",10,104,175,152.452381,12.53794694,137,17,0.416023510670438
"181",151,151,"Delanie Walker","TE","TEN",9,128,199,153.6190476,15.6356619,190,17,0.583390536335346
"182",152,152,"Eli Manning","QB","NYG",8,91,186,149.1578947,17.55671459,163,17,0.296729404981312
"183",153,153,"Andrew Hawkins","WR","CLE",4,110,189,152.0769231,21.36902217,232,17,0.502360484053848
"184",154,154,"Marqise Lee","WR","JAC",11,104,198,153.4102564,26.14821458,201,17,NA
"185",155,155,"Josh McCown","QB","TB",7,111,206,153.5897436,21.81826799,178,17,0.401778401778402
"186",156,156,"Lance Dunbar","RB","DAL",11,109,189,150.3888889,21.55262008,214,17,0.480505795574289
"187",157,157,"Marvin Jones","WR","CIN",4,77,255,152.3333333,36.02328091,172,17,0.51959121363752
"188",158,158,"San Francisco 49ers","DST","SF",8,112,206,158.7179487,21.5845965,82,17,NA
"189",159,159,"Joe Flacco","QB","BAL",11,120,194,157.8947368,15.95188402,149,17,0.265404472525704
"190",160,160,"Dwayne Allen","TE","IND",10,101,193,156.0555556,18.26950167,219,17,0.327109011735184
"191",93,93,"Dennis Pitta","TE","BAL",11,61,126,93.64705882,13.93799087,77,17,0.474807928139445
"192",94,94,"Rueben Randle","WR","NYG",8,54,131,94.21568627,16.6607602,122,17,0.555316664012317
"193",95,95,"Brandin Cooks","WR","NO",6,59,185,95.04,20.98185883,100,17,NA
"194",96,96,"Bernard Pierce","RB","BAL",11,56,155,94.57142857,19.85354541,120,17,0.402639127940333
"195",97,97,"Sammy Watkins","WR","BUF",9,75,153,102.22,13.43322746,98,17,NA
"196",98,98,"Dwayne Bowe","WR","KC",6,79,147,103.92,13.6247422,117,17,0.378675645342312
"197",99,99,"Kelvin Benjamin","WR","CAR",12,56,150,100.9791667,18.273945,123,17,NA
"198",100,100,"Cecil Shorts","WR","JAC",11,66,184,106.08,22.82878884,131,17,0.460484404110824
"199",101,101,"Mike Evans","WR","TB",7,74,199,106.12,19.80367643,115,17,NA
"200",102,102,"Philip Rivers","QB","SD",10,57,150,101.1276596,21.19274968,104,17,0.227119894598156
"201",103,103,"Justin Hunter","WR","TEN",9,66,142,100.8478261,15.3537524,134,17,0.670918028430982
"202",104,104,"Jeremy Hill","RB","CIN",4,68,165,103.7659574,20.34825808,138,17,NA
"203",105,105,"Danny Woodhead","RB","SD",10,68,143,106.0833333,15.83486835,109,17,0.405072619688005
"204",106,106,"Zach Ertz","TE","PHI",7,74,145,106.7083333,15.34459505,110,17,0.505926042983565
"205",107,107,"Mark Ingram","RB","NO",6,56,174,107.8541667,23.36128348,128,17,0.452447261436025
"206",108,108,"Knowshon Moreno","RB","MIA",5,43,190,109.4375,25.13953249,103,17,0.361402492031296
"207",109,109,"DeAndre Hopkins","WR","HOU",10,79,148,109.7291667,14.23133219,125,17,0.427380273660205
"208",110,110,"Ben Roethlisberger","QB","PIT",12,55,149,107.4347826,18.14273381,119,17,0.227106786236725
"209",111,111,"Riley Cooper","WR","PHI",7,54,193,113.7959184,20.874728,111,17,0.545642997135535
"210",112,112,"DeAngelo Williams","RB","CAR",12,72,163,110.7021277,15.83816411,118,17,0.42687706270627
"211",113,113,"Anquan Boldin","WR","SF",8,83,159,114.8163265,17.80354639,114,17,0.377205135309874
"212",114,114,"Terrance West","RB","CLE",4,61,177,117.106383,24.20588467,124,17,NA
"213",115,115,"Darren Sproles","RB","PHI",7,83,152,116.9347826,14.57425093,99,17,0.34445869094969
"214",116,116,"Carlos Hyde","RB","SF",8,73,177,119.0638298,23.25565981,121,17,NA
"215",117,117,"Andy Dalton","QB","CIN",4,67,176,119.4444444,22.16659705,126,18,0.280339509739717
"216",118,118,"Greg Jennings","WR","MIN",10,71,173,120.3777778,20.01920066,156,18,0.400627566794334
"217",119,119,"Martellus Bennett","TE","CHI",9,97,171,124.2978723,15.5110323,116,18,0.511996498381654
"218",120,120,"Markus Wheaton","WR","PIT",12,96,179,124.0217391,17.86481742,160,18,0.759322033898305
"219",121,121,"Darren McFadden","RB","OAK",5,68,163,122.9333333,22.45231985,132,18,0.378879455915405
"220",122,122,"Andre Williams","RB","NYG",8,66,182,123.4,24.45531072,136,18,NA
"221",123,123,"Brian Hartline","WR","MIA",5,98,186,125.7391304,16.03180912,164,18,0.404735998588464
"222",124,124,"Christopher Ivory","RB","NYJ",11,89,165,124.3555556,17.50829081,145,18,NA
"223",125,125,"Hakeem Nicks","WR","IND",10,54,191,125.1333333,21.94396905,133,18,0.411702162462786
"224",126,126,"Shonn Greene","RB","TEN",9,60,191,130.0869565,24.83320541,162,18,0.44342133920577
"225",127,127,"Charles Clay","TE","MIA",5,80,199,131.6382979,21.8470754,147,18,0.582251082251083
"226",128,128,"Devonta Freeman","RB","ATL",9,96,187,125.744186,21.43035559,139,18,NA
"227",129,129,"Ryan Tannehill","QB","MIA",5,67,187,132.8297872,20.7726489,157,18,0.260593734822729
"228",130,130,"Seattle Seahawks","DST","SEA",4,103,205,131.1555556,16.65860546,58,18,NA
"229",131,131,"Ladarius Green","TE","SD",10,92,186,136.787234,20.82034211,154,18,0.511658485273492
"230",132,132,"Jordan Matthews","WR","PHI",7,105,190,137.2826087,23.01763317,174,18,NA
"231",133,133,"Carson Palmer","QB","ARI",4,85,166,134.627907,17.90676533,155,18,0.259807991696938
"232",134,134,"Jonathan Stewart","RB","CAR",12,78,176,137.6,20.854416,186,18,0.31174885889365
"233",135,135,"Ahmad Bradshaw","RB","IND",10,98,185,139.0869565,21.00913475,177,18,0.32960672190454
"234",136,136,"Jarrett Boykin","WR","GB",9,101,185,133.3809524,19.119863,159,18,0.605534454693434
"235",137,137,"LeGarrette Blount","RB","PIT",12,82,183,137.5909091,22.99141953,146,18,0.583534440606319
"236",138,138,"Kenny Stills","WR","NO",6,82,180,136.2142857,21.47150461,166,18,0.565964657467926
"237",139,139,"Heath Miller","TE","PIT",12,83,201,139.2325581,20.10187682,152,18,0.400689999168677
"238",140,140,"Aaron Dobson","WR","NE",10,81,197,136.6,22.66473031,207,18,0.479965899403239
"239",141,141,"Doug Baldwin","WR","SEA",4,96,178,139.15,20.42369947,173,18,0.488039751419693
"240",142,142,"Kenny Britt","WR","STL",4,71,200,137.8461538,28.97615152,193,18,0.677399489751033
"241",143,143,"Steve Smith","WR","BAL",11,100,188,146.9318182,21.05555177,144,19,0.408223335921507
"242",144,144,"Khiry Robinson","RB","NO",6,69,195,138.6315789,25.20382286,135,18,0.575167037861916
"243",145,145,"Tavon Austin","WR","STL",4,101,188,141.6052632,24.00607322,148,18,0.587840898794962
"244",146,146,"Danny Amendola","WR","NE",10,93,196,144.025641,28.09369596,143,18,0.454286763355976
"245",147,147,"James Jones","WR","OAK",5,93,183,143,24.9082527,167,18,0.397690798858773
"246",148,148,"Christine Michael","RB","SEA",4,93,242,147.5,26.59699231,153,19,0.236286919831224
"247",149,149,"Alex Smith","QB","KC",6,106,192,147.8292683,18.76673554,151,19,0.520446190898721
"248",150,150,"Antonio Gates","TE","SD",10,104,175,152.452381,12.53794694,137,19,0.416023510670438
"249",151,151,"Delanie Walker","TE","TEN",9,128,199,153.6190476,15.6356619,190,19,0.583390536335346
"250",152,152,"Eli Manning","QB","NYG",8,91,186,149.1578947,17.55671459,163,19,0.296729404981312
"251",153,153,"Andrew Hawkins","WR","CLE",4,110,189,152.0769231,21.36902217,232,19,0.502360484053848
"252",154,154,"Marqise Lee","WR","JAC",11,104,198,153.4102564,26.14821458,201,19,NA
"253",155,155,"Josh McCown","QB","TB",7,111,206,153.5897436,21.81826799,178,19,0.401778401778402
"254",156,156,"Lance Dunbar","RB","DAL",11,109,189,150.3888889,21.55262008,214,19,0.480505795574289
"255",157,157,"Marvin Jones","WR","CIN",4,77,255,152.3333333,36.02328091,172,19,0.51959121363752
"256",158,158,"San Francisco 49ers","DST","SF",8,112,206,158.7179487,21.5845965,82,19,NA
"257",159,159,"Joe Flacco","QB","BAL",11,120,194,157.8947368,15.95188402,149,19,0.265404472525704
"258",160,160,"Dwayne Allen","TE","IND",10,101,193,156.0555556,18.26950167,219,19,0.327109011735184
"259",161,161,"Knile Davis","RB","KC",6,123,199,161.4615385,20.65323735,183,19,0.702069572875385
"260",162,162,"Tyler Eifert","TE","CIN",4,131,219,161.2368421,19.84470526,241,19,0.474446902654867
"261",163,163,"Travis Kelce","TE","KC",6,120,199,157.1176471,19.91269874,211,19,NA
"262",164,164,"James White","RB","NE",10,108,187,150.4137931,21.63891329,212,19,NA
"263",165,165,"Donald Brown","RB","SD",10,81,200,161.8888889,22.71291578,206,19,0.396611957023268
"264",166,166,"Jake Locker","QB","TEN",9,129,194,159.9705882,16.58221105,238,19,0.386616749512363
"265",167,167,"Eric Ebron","TE","DET",9,128,233,166.1621622,20.1970208,150,19,NA
"266",168,168,"Rod Streater","WR","OAK",5,105,197,157.5666667,24.02870968,234,19,0.438173493724213
"267",169,169,"Mike Williams","WR","BUF",9,117,199,164.1764706,22.35998341,NA,19,0.454135197386043
"268",170,170,"St. Louis Rams","DST","STL",4,129,211,167.8108108,21.29818903,102,20,NA
"269",171,171,"Garrett Graham","TE","HOU",10,144,230,163.78125,17.75481339,236,19,0.570677709644023
"270",172,172,"Carolina Panthers","DST","CAR",12,135,207,166.7142857,16.66059753,86,19,NA
"271",173,173,"Harry Douglas","WR","ATL",9,111,202,163.5,24.57768297,197,19,0.49219729557686
"272",174,174,"James Starks","RB","GB",9,107,254,163.8,27.92657038,200,19,0.432510379803272
"273",175,175,"Malcom Floyd","WR","SD",10,94,208,160.7142857,26.23092115,247,19,0.323331747353396
"274",176,176,"Robert Woods","WR","BUF",9,94,199,162.2758621,22.16380484,NA,19,0.413952627683198
"275",177,177,"Jared Cook","TE","STL",4,128,197,168.71875,17.0206389,228,20,0.468597117545947
"276",178,178,"Ronnie Hillman","RB","DEN",4,100,235,166.6206897,24.89344713,213,19,0.498156342182891
"277",179,179,"Kenbrell Thompkins","WR","NE",10,107,257,163.8461538,33.83067828,191,19,0.5280925401322
"278",180,180,"Jerricho Cotchery","WR","CAR",12,112,200,168.5806452,22.41510751,217,20,0.572790790905446
"279",181,181,"Cincinnati Bengals","DST","CIN",4,139,209,174.9722222,14.52103094,107,20,NA
"280",182,182,"Johnny Manziel","QB","CLE",4,111,215,158.9090909,27.48042128,165,19,NA
"281",183,183,"Cody Latimer","WR","DEN",4,112,212,162.7083333,26.47558493,NA,19,NA
"282",184,184,"Benny Cunningham","RB","STL",4,106,213,162.3913043,29.18865046,NA,19,0.750162513542795
"283",185,185,"Roy Helu","RB","WAS",10,123,214,174.1612903,17.09007781,229,20,0.539650517246609
"284",186,186,"Geno Smith","QB","NYJ",11,134,204,166.0833333,20.17406889,243,19,0.465395293495505
"285",187,187,"New England Patriots","DST","NE",10,127,212,176.21875,20.4017989,108,20,NA
"286",188,188,"Odell Beckham Jr.","WR","NYG",8,100,209,166.7391304,26.13047095,237,20,NA
"287",189,189,"Jonathan Grimes","RB","HOU",10,124,281,171.0869565,31.54418991,239,20,0.618811881188119
"288",190,190,"Denver Broncos","DST","DEN",4,137,210,176.5483871,16.79446666,101,20,NA
"289",191,191,"Tre Mason","RB","STL",4,118,228,173.125,20.48030049,221,20,NA
"290",192,192,"Andre Holmes","WR","OAK",5,122,197,163.2222222,24.84967148,NA,19,0.571619812583668
"291",193,193,"Steve Johnson","WR","SF",8,119,223,172.2272727,23.6737903,208,20,0.326350649350649
"292",194,194,"Miles Austin","WR","CLE",4,134,200,167.35,19.05852827,199,20,0.475714301041812
"293",195,195,"Mike Tolbert","RB","CAR",12,148,200,177.56,14.87838701,NA,20,0.445574643359453
"294",196,196,"Dexter McCluster","WR","TEN",9,131,199,175.6521739,19.32920452,202,20,0.481869786839665
"295",197,197,"John Brown","WR","ARI",4,117,206,168.1764706,29.17943533,NA,20,NA
"296",198,198,"Brian Quick","WR","STL",4,85,193,161.7857143,28.64107583,NA,19,0.634108686702347
"297",199,199,"Mohamed Sanu","WR","CIN",4,138,217,172.6666667,21.55097317,253,20,0.450585363835684
"298",200,200,"Coby Fleener","TE","IND",10,155,226,176.7,16.82884429,205,20,0.490573651056962
"299",201,201,"Tim Wright","TE","TB",7,130,251,175.1875,28.02280043,209,20,0.41474921370634
"300",202,202,"C.J. Anderson","RB","DEN",4,143,209,179.5238095,16.56622797,226,20,0.0765027322404371
"301",203,203,"E.J. Manuel","QB","BUF",9,132,210,176.8888889,16.26819968,NA,20,0.277013291634089
"302",204,204,"Jacquizz Rodgers","RB","ATL",9,79,222,178.3333333,30.01110905,NA,20,0.436424957841483
"303",205,205,"Ryan Fitzpatrick","QB","HOU",10,139,199,177.9411765,15.12485523,NA,20,0.266672409809811
"304",206,206,"Jonathan Dwyer","RB","ARI",4,148,197,175,13.72103009,NA,20,0.527189324437031
"305",207,207,"Bryce Brown","RB","BUF",9,142,223,178.1875,19.80914798,NA,20,0.665503771220795
"306",208,208,"Arizona Cardinals","DST","ARI",4,144,208,183.7727273,16.10457817,105,20,NA
"307",209,209,"Marcedes Lewis","TE","JAC",11,154,239,181.0666667,22.0740169,252,20,0.47401185770751
"308",210,210,"Jermaine Kearse","WR","SEA",4,144,207,175.0833333,19.82615416,NA,20,0.603772565128094
"309",211,211,"Kansas City Chiefs","DST","KC",6,136,214,185.6842105,15.39669353,106,20,NA
"310",212,212,"Brandon LaFell","WR","NE",10,146,200,172.2,21.04661493,203,20,0.438933099541408
"311",213,213,"Shaun Hill","QB","STL",4,147,200,179.7692308,15.05964473,NA,20,0.727707006369427
"312",214,214,"Nate Washington","WR","TEN",9,157,240,185.6,17.54536976,NA,20,0.425458555026603
"313",215,215,"Matt Cassel","QB","MIN",10,156,260,182.2727273,26.73129221,NA,20,0.418362023995827
"314",216,216,"Robert Turbin","RB","SEA",4,146,249,185.25,29.45653578,NA,20,0.384143001297391
"315",217,217,"Bobby Rainey","RB","TB",7,135,245,181.4,27.04514744,NA,20,0.575982905982906
"316",218,218,"Lance Moore","WR","PIT",12,135,264,186.4,34.93765877,NA,20,0.409910487756207
"317",219,219,"Jace Amaro","TE","NYJ",11,156,198,178.6,13.16966211,251,20,NA
"318",220,220,"Cleveland Browns","DST","CLE",4,168,201,183.7692308,11.29434063,171,20,NA
